id,tipus,font,nom,municipi,sstt,ssttNou,enquesta,grups,pDepartament,pAltres,pTotal,e75paret,e75rodes,e65paret,e65rodes,eTotal,a75paret,a75rodes,a65paret,a65rodes,aTotal,apTotal,srFixes,srRodes,srTotal,asm,mad,public,maleta,max
"43000627",ESC,Centre públic Dep. i CEB,Escola Rocabruna,Les Borges del Camp,TAR,TAR,1,9,0,0,0,9,0,0,0,9,9,0,0,0,9,9,3,0,3,0,0,1,1,0
"43000639",ESC-ZER,Centre públic Dep. i CEB,Escola Sant Blai - ZER Terra Alta-Centre,Bot,TEB,TEB,1,3,1,0,1,3,1,0,0,4,2,0,0,0,2,3,2,0,2,1,1,1,0,0
"43000640",ESC,Centre públic Dep. i CEB,Escola Mare de Déu de la Candela,Botarell,TAR,TAR,1,9,1,1,2,0,8,0,0,8,0,8,0,0,8,9,0,8,8,1,1,1,1,0
"43000652",ESC-ZER,Centre públic Dep. i CEB,Escola Sant Jaume de Bràfim - ZER Atzavara,Bràfim,TAR,TAR,1,5,1,0,1,0,4,0,0,4,0,4,0,0,4,5,0,2,2,1,1,1,0,0
"43000676",ESC-ZER,Centre públic Dep. i CEB,Escola El Castell - ZER Montsant,Cabacés,TAR,TAR,1,2,1,0,1,0,2,0,0,2,0,1,0,0,1,2,0,0,0,1,1,1,0,0
"43000688",ESC-ZER,Centre públic Dep. i CEB,Escola de Cabra del Camp - ZER La Parellada,Cabra del Camp,TAR,TAR,1,3,1,0,1,1,3,0,0,4,1,1,0,0,2,3,1,1,2,1,1,1,0,0
"43000706",ESC,Centre públic Dep. i CEB,Escola Santa Creu de Calafell,Calafell,TAR,PEN,1,27,2,4,6,21,0,0,0,21,21,0,0,0,21,23,0,0,0,6,6,1,1,0
"43000721",ESC,Centre públic Dep. i CEB,Escola Mossèn Jacint Verdaguer,Segur de Calafell (Calafell),TAR,PEN,1,21,0,4,4,17,0,0,0,17,17,0,0,0,17,17,17,0,17,4,4,1,1,0
"43000779",INS,Centre públic Dep. i CEB,Institut Ramon Berenguer IV,Cambrils,TAR,TAR,1,29,1,0,1,24,1,0,0,25,24,1,0,0,25,26,24,1,25,1,1,1,1,0
"43000792",ESC-ZER,Centre públic Dep. i CEB,Escola Sant Isidre - ZER Les Vinyes,Capçanes,TAR,TAR,1,2,1,0,1,0,0,0,1,1,0,0,0,1,1,2,0,1,1,1,1,1,0,0
"43000809",ESC-ZER,Centre públic Dep. i CEB,Escola La Gessera - ZER Ports-Algars,Caseres,TEB,TEB,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,2,0,0,0,0,0,1,1,0
"43000871",ESC,Centre públic Dep. i CEB,Escola Maria Jesús Ortí i Abella,La Sénia,TEB,TEB,1,21,19,2,21,0,1,17,2,20,0,1,1,0,2,21,2,0,2,19,6,1,1,0
"43000895",ESC,Centre públic Dep. i CEB,Escola Mossèn Ramon Bergadà,Constantí,TAR,TAR,1,18,0,1,1,14,0,0,4,18,14,0,0,4,18,18,0,0,0,0,0,1,1,0
"43000950",ESC-ZER,Centre públic Dep. i CEB,Escola Doctor Ferran - ZER Terra Alta-Centre,Corbera d'Ebre,TEB,TEB,1,3,1,0,1,1,2,0,0,3,1,1,0,0,2,3,1,1,2,1,1,1,0,0
"43000998",ESC,Centre públic Dep. i CEB,Escola Pompeu Fabra,Cunit,TAR,PEN,1,15,0,0,0,13,1,0,0,14,13,1,0,0,14,14,6,1,7,0,0,1,1,0
"43001000",ESC,Centre públic Dep. i CEB,Escola de Xerta,Xerta,TEB,TEB,1,9,1,0,1,5,0,0,0,5,5,0,0,0,5,6,3,0,3,1,1,1,1,0
"43001036",ESC,Centre públic Dep. i CEB,Escola Martí Poch,L'Espluga de Francolí,TAR,TAR,1,9,1,0,1,9,2,0,0,11,8,0,0,0,8,9,0,0,0,1,1,1,1,0
"43001051",ESC,Centre públic Dep. i CEB,Escola Antoni Vilanova,Falset,TAR,TAR,1,15,0,0,0,16,1,0,0,17,15,0,0,0,15,15,0,1,1,0,0,1,1,0
"43001097",ESC-ZER,Centre públic Dep. i CEB,Escola Los Castellets - ZER Terra Alta Nord,La Fatarella,TEB,TEB,1,3,1,0,1,0,0,0,3,3,0,0,0,2,2,3,0,0,0,1,1,1,0,0
"43001115",ESC-ZER,Centre públic Dep. i CEB,Escola Mare de Déu de l'Esperança - ZER La Parellada,Figuerola del Camp,TAR,TAR,1,3,1,0,1,3,0,0,0,3,2,0,0,0,2,3,2,0,2,1,1,1,0,0
"43001127",ESC,Centre públic Dep. i CEB,Escola Enric Grau i Fontserè,Flix,TEB,TEB,1,14,6,1,7,14,0,0,0,14,8,0,0,0,8,14,6,0,6,6,4,1,1,0
"43001231",ESC,Centre públic Dep. i CEB,Escola Puig Cavaller,Gandesa,TEB,TEB,1,17,8,0,8,0,17,0,0,17,0,9,0,0,9,17,0,9,9,8,5,1,1,0
"43001280",ESC-ZER,Centre públic Dep. i CEB,Escola Pàmies - ZER La Font de l'Aiguadí,Ginestar,TEB,TEB,1,3,1,0,1,0,1,0,2,3,0,1,0,1,2,3,0,2,2,1,1,1,0,0
