id,tipus,font,nom,municipi,sstt,ssttNou,enquesta,grups,pDepartament,pAltres,pTotal,e75paret,e75rodes,e65paret,e65rodes,eTotal,a75paret,a75rodes,a65paret,a65rodes,aTotal,apTotal,srFixes,srRodes,srTotal,asm,mad,public,maleta,max
"08000013",ESC,Centre públic Dep. i CEB,Escola Francesc Platón i Sartí,Abrera,BLL,BLL,1,18,0,0,0,0,0,0,20,20,0,0,0,18,18,18,0,0,0,0,0,1,1,0
"08000049",ESC,Centre públic Dep. i CEB,Escola Fabra,Alella,MVO,MVO,1,19,1,6,7,17,0,0,0,17,17,0,0,0,17,18,17,0,17,2,2,1,1,0
"08000086",ESC-ZER,Centre públic Dep. i CEB,Escola La Forja - ZER Alt Lluçanès,Alpens,CCE,CCE,1,3,0,0,0,1,1,0,0,2,1,1,0,0,2,2,1,1,2,0,0,1,0,0
"08000098",ESC,Centre públic Dep. i CEB,Escola Bertí,L'Ametlla del Vallès,MVO,MVO,1,17,2,1,3,4,0,0,0,4,4,0,0,0,4,6,3,1,4,3,3,1,1,0
"08000153",ESC,Centre públic Dep. i CEB,Escola Joan Maragall,Arenys de Mar,MVO,MVO,1,24,0,0,0,17,1,9,0,27,17,1,6,0,24,24,9,1,10,0,0,1,1,0
"08000165",ESC,Centre públic Dep. i CEB,Escola Sant Martí,Arenys de Munt,MVO,MVO,1,16,1,1,2,15,1,0,0,16,15,0,0,0,15,16,15,0,15,1,1,1,1,0
"08000189",ESC,Centre públic Dep. i CEB,Escola Bernat de Riudemeia,Argentona,MVO,MVO,1,9,1,5,6,8,0,1,1,10,8,0,0,0,8,9,0,0,0,1,1,1,1,0
"08000244",ESC,Centre públic Dep. i CEB,Escola Doctor Ferrer,Artés,CCE,CCE,1,22,0,0,0,16,2,0,0,18,16,2,0,0,18,18,16,2,18,0,0,1,1,0
"08000271",ESC,Centre públic Dep. i CEB,Escola Santa Maria d'Avià,Avià,CCE,CCE,1,11,0,0,0,10,2,0,0,12,10,1,0,0,11,11,10,1,11,0,0,1,1,0
"08000347",ESC,Centre públic Dep. i CEB,Escola d'Avinyonet del Penedès,Avinyó Nou (Avinyonet del Penedès),BCO,PEN,1,9,2,6,8,6,0,0,0,6,6,0,0,0,6,8,6,0,6,3,3,1,1,0
"08000359",ESC,Centre públic Dep. i CEB,Escola La Muntanya,Aiguafreda,MVO,MVO,1,10,1,0,1,5,3,0,3,11,5,3,0,1,9,10,5,4,9,1,1,1,1,0
"08000384",ESC,Centre públic Dep. i CEB,Escola Lola Anglada,Badalona,BCO,BCO,1,19,0,0,0,1,0,9,2,12,1,0,9,2,12,12,0,0,0,0,0,1,1,0
"08000396",ESC,Centre públic Dep. i CEB,Escola Ventós i Mir,Badalona,BCO,BCO,1,16,5,1,6,0,0,12,0,12,0,0,11,0,11,16,11,0,11,5,5,1,1,0
"08000402",ESC,Centre públic Dep. i CEB,Escola Feliu i Vegués,Badalona,BCO,BCO,1,13,3,7,10,7,0,0,0,7,7,0,0,0,7,10,7,0,7,6,4,1,1,0
"08000670",ESC,Concertada 30% NESE,FEP Mare de Déu de la Salut,Badalona,BCO,BCO,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,1,0
"08001145",IE,Concertada 30% NESE,Lestonnac,Badalona,BCO,BCO,0,26,0,0,0,0,0,0,0,0,26,0,0,0,26,26,0,0,0,0,0,0,1,0
"08001170",IE,Concertada 30% NESE,Santíssima Trinitat,Badalona,BCO,BCO,0,14,0,0,0,0,0,0,0,0,14,0,0,0,14,14,0,0,0,0,0,0,1,0
"08001391",ESC,Centre públic Dep. i CEB,Escola Planas i Casals,Badalona,BCO,BCO,1,18,0,0,0,7,11,0,0,18,7,11,0,0,18,18,7,11,18,0,0,1,1,0
"08001421",INS,Centre públic Dep. i CEB,Institut La Pineda,Badalona,BCO,BCO,1,37,0,0,0,0,10,0,2,12,0,10,0,2,12,12,0,0,0,0,0,1,1,0
"08001431",INS,Centre públic Dep. i CEB,Institut Isaac Albéniz,Badalona,BCO,BCO,1,26,0,0,0,22,0,0,0,22,22,0,0,0,22,22,0,0,0,0,0,1,1,0
"08001443",INS,Centre públic Dep. i CEB,Institut Eugeni d'Ors,Badalona,BCO,BCO,1,28,0,0,0,14,0,0,12,26,14,0,0,12,26,26,14,12,26,0,0,1,1,0
"08001480",INS,Centre públic Dep. i CEB,EA Pau Gargallo,Badalona,BCO,BCO,1,8,0,0,0,6,0,0,0,6,6,0,0,0,6,6,6,0,6,0,0,1,1,0
"08001509",ESC,Centre públic Dep. i CEB,Escola Antoni Botey,Badalona,BCO,BCO,1,18,1,1,2,18,0,0,0,18,17,0,0,0,17,18,17,0,17,1,1,1,1,0
"08001522",ESC,Centre públic Dep. i CEB,Escola Galceran de Pinós,Bagà,CCE,CCE,1,9,1,0,1,6,0,0,1,7,6,0,0,1,7,8,3,1,4,1,1,1,1,0
"08001595",ESC,Centre públic Dep. i CEB,Escola Baixeras,Barcelona,CEB,CEB,1,9,1,3,4,9,0,0,0,9,8,0,0,0,8,9,0,0,0,1,1,1,1,0
"08001601",ESC,Centre públic Dep. i CEB,Escola Parc de la Ciutadella,Barcelona,CEB,CEB,1,9,1,8,9,1,0,8,0,9,1,0,7,0,8,9,3,0,3,1,1,1,1,0
"08001649",ESC,Centre públic Dep. i CEB,Escola Mossèn Jacint Verdaguer,Barcelona,CEB,CEB,1,18,3,0,3,18,0,0,0,18,15,0,0,0,15,18,0,0,0,3,3,1,1,0
"08001650",ESC,Centre públic Dep. i CEB,Escola El Polvorí,Barcelona,CEB,CEB,1,9,3,1,4,6,1,0,0,7,6,0,0,0,6,9,0,1,1,3,3,1,1,0
"08001674",ESC,Centre públic Dep. i CEB,Escola Can Clos,Barcelona,CEB,CEB,1,9,1,0,1,4,3,0,0,7,4,3,0,0,7,8,4,3,7,1,1,1,1,0
"08001716",ESC,Centre públic Dep. i CEB,Escola Dolors Monserdà-Santapau,Barcelona,CEB,CEB,1,20,2,0,2,18,0,0,0,18,18,0,0,0,18,20,18,0,18,2,2,1,1,0
"08001731",ESC,Centre públic Dep. i CEB,Escola Poeta Foix,Barcelona,CEB,CEB,1,9,1,0,1,10,4,0,0,14,8,0,0,0,8,9,8,0,8,1,1,1,1,0
"08001777",ESC,Centre públic Dep. i CEB,Escola Ramon Llull,Barcelona,CEB,CEB,1,21,0,0,0,20,0,0,0,20,20,0,0,0,20,20,8,0,8,0,0,1,1,0
"08001789",ESC,Centre públic Dep. i CEB,Escola Cervantes,Barcelona,CEB,CEB,1,9,1,0,1,9,0,0,0,9,8,0,0,0,8,9,8,0,8,1,1,1,1,0
"08001790",ESC,Centre públic Dep. i CEB,Escola Pere Vila,Barcelona,CEB,CEB,1,18,2,0,2,18,0,0,0,18,16,0,0,0,16,18,6,0,6,2,2,1,1,0
"08001807",ESC,Centre públic Dep. i CEB,Escola de la Concepció,Barcelona,CEB,CEB,1,9,0,0,0,0,9,0,0,9,0,9,0,0,9,9,0,0,0,0,0,1,1,0
"08001819",ESC,Centre públic Dep. i CEB,Escola Collaso i Gil,Barcelona,CEB,CEB,1,19,4,0,4,13,0,0,0,13,13,0,0,0,13,17,0,0,0,4,4,1,1,0
"08001820",ESC,Centre públic Dep. i CEB,Escola Milà i Fontanals,Barcelona,CEB,CEB,1,18,0,0,0,18,3,0,0,21,18,0,0,0,18,18,18,0,18,0,0,1,1,0
"08001832",ESC,Centre públic Dep. i CEB,Escola Castella,Barcelona,CEB,CEB,1,9,1,0,1,8,1,0,0,9,8,0,0,0,8,9,8,0,8,1,1,1,1,0
"08001856",ESC,Centre públic Dep. i CEB,Escola Drassanes,Barcelona,CEB,CEB,1,18,4,7,11,0,0,13,1,14,0,0,13,1,14,18,6,1,7,4,4,1,1,0
"08001868",ESC,Centre públic Dep. i CEB,Escola Rubén Darío,Barcelona,CEB,CEB,1,9,1,0,1,0,1,5,2,8,0,1,5,2,8,9,5,2,7,1,1,1,1,0
"08001911",ESC,Centre públic Dep. i CEB,Escola Els Llorers,Barcelona,CEB,CEB,1,21,16,8,24,0,1,7,4,12,0,1,4,0,5,21,3,2,5,16,6,1,1,0
"08001923",ESC,Centre públic Dep. i CEB,Escola Diputació,Barcelona,CEB,CEB,1,18,0,12,12,0,20,0,0,20,0,18,0,0,18,18,17,1,18,0,0,1,1,0
"08001947",ESC,Centre públic Dep. i CEB,Escola Mallorca,Barcelona,CEB,CEB,1,18,0,0,0,18,0,0,0,18,18,0,0,0,18,18,18,0,18,0,0,1,1,0
"08002009",ESC,Centre públic Dep. i CEB,Escola Francesc Macià,Barcelona,CEB,CEB,1,10,2,3,5,2,0,7,0,9,2,0,6,0,8,10,8,0,8,2,2,1,1,0
"08002010",ESC,Centre públic Dep. i CEB,Escola Lluís Vives,Barcelona,CEB,CEB,1,9,1,4,5,9,0,0,0,9,8,0,0,0,8,9,8,0,8,1,1,1,1,0
"08002022",ESC,Centre públic Dep. i CEB,Escola Cal Maiol,Barcelona,CEB,CEB,1,9,1,0,1,11,0,0,0,11,8,0,0,0,8,9,8,0,8,1,1,1,1,0
"08002058",ESC,Centre públic Dep. i CEB,Escola Pràctiques,Barcelona,CEB,CEB,1,20,3,0,3,18,0,0,0,18,17,0,0,0,17,20,17,0,17,3,3,1,1,0
"08002061",ESC,Centre públic Dep. i CEB,Escola Jaume I,Barcelona,CEB,CEB,1,21,1,2,3,14,0,0,4,18,14,0,0,4,18,19,0,3,3,3,3,1,1,0
"08002071",ESC,Centre públic Dep. i CEB,Escola Gayarre,Barcelona,CEB,CEB,1,9,1,0,1,6,3,0,0,9,6,2,0,0,8,9,6,2,8,1,1,1,1,0
"08002113",ESC,Centre públic Dep. i CEB,Escola Rius i Taulet,Barcelona,CEB,CEB,1,19,0,2,2,17,0,0,0,17,17,0,0,0,17,17,17,0,17,2,2,1,1,0
"08002174",ESC,Centre públic Dep. i CEB,Escola Baldiri Reixac,Barcelona,CEB,CEB,1,9,1,0,1,9,0,0,0,9,8,0,0,0,8,9,8,0,8,1,1,1,1,0
"08002186",ESC,Centre públic Dep. i CEB,Escola Mare de Déu de Montserrat,Barcelona,CEB,CEB,1,9,2,0,2,9,0,0,0,9,7,0,0,0,7,9,6,0,6,2,2,1,1,0
"08002198",ESC,Centre públic Dep. i CEB,Escola La Farigola de Vallcarca,Barcelona,CEB,CEB,1,9,1,0,1,8,1,0,0,9,8,0,0,0,8,9,3,0,3,1,1,1,1,0
"08002204",ESC,Centre públic Dep. i CEB,Escola Montseny,Barcelona,CEB,CEB,1,9,0,0,0,6,3,0,0,9,6,3,0,0,9,9,6,3,9,0,0,1,1,0
"08002216",ESC,Centre públic Dep. i CEB,Escola Josep Maria de Sagarra,Barcelona,CEB,CEB,1,9,0,0,0,9,0,0,0,9,9,0,0,0,9,9,9,0,9,0,0,1,1,0
"08002277",ESC,Centre públic Dep. i CEB,Escola Calderón de la Barca,Barcelona,CEB,CEB,1,18,1,0,1,18,0,0,0,18,17,0,0,0,17,18,0,0,0,1,1,1,1,0
"08002290",ESC,Centre públic Dep. i CEB,Escola Emili Juncadella,Barcelona,CEB,CEB,1,9,1,0,1,0,9,0,0,9,0,8,0,0,8,9,0,0,0,1,1,1,1,0
"08002320",ESC,Centre públic Dep. i CEB,Escola Ciutat Comtal,Barcelona,CEB,CEB,1,9,2,11,13,0,9,0,0,9,0,7,0,0,7,9,0,7,7,2,2,1,1,0
"08002344",ESC,Centre públic Dep. i CEB,Escola El Turó,Barcelona,CEB,CEB,1,10,1,0,1,0,0,6,2,8,0,0,6,2,8,9,3,0,3,1,1,1,1,0
"08002368",ESC,Centre públic Dep. i CEB,Escola Timbaler del Bruc,Barcelona,CEB,CEB,1,9,1,0,1,6,1,6,0,13,6,1,1,0,8,9,4,1,5,1,1,1,1,0
"08002393",ESC,Centre públic Dep. i CEB,Escola L'Arc de Sant Martí,Barcelona,CEB,CEB,1,9,4,9,13,2,0,1,0,3,2,0,1,0,3,7,0,0,0,6,3,1,1,0
"08002411",ESC,Centre públic Dep. i CEB,Escola Baró de Viver,Barcelona,CEB,CEB,1,9,1,0,1,9,0,0,0,9,8,0,0,0,8,9,8,0,8,1,1,1,1,0
"08002459",ESC,Centre públic Dep. i CEB,Escola Elisenda de Montcada,Barcelona,CEB,CEB,1,18,4,14,18,7,0,0,0,7,7,0,0,0,7,11,0,0,0,11,5,1,1,0
"08002484",ESC,Centre públic Dep. i CEB,Escola Marta Mata,Barcelona,CEB,CEB,1,9,1,0,1,0,0,0,8,8,0,0,0,8,8,9,0,8,8,1,1,1,1,0
"08002526",ESC,Centre públic Dep. i CEB,Escola Tibidabo,Barcelona,CEB,CEB,1,9,0,0,0,9,0,0,0,9,9,0,0,0,9,9,9,0,9,0,0,1,1,0
"08002538",ESC,Centre públic Dep. i CEB,Escola Víctor Català,Barcelona,CEB,CEB,1,18,0,1,1,18,0,0,0,18,18,0,0,0,18,18,6,0,6,0,0,1,1,0
"08002551",ESC,Centre públic Dep. i CEB,Escola Molí de Finestrelles,Barcelona,CEB,CEB,1,18,1,0,1,19,0,0,0,19,17,0,0,0,17,18,17,0,17,1,1,1,1,0
"08002563",ESC,Centre públic Dep. i CEB,Escola La Mar Bella,Barcelona,CEB,CEB,1,17,2,0,2,0,12,2,2,16,0,12,2,1,15,17,2,13,15,2,2,1,1,0
"08002575",ESC,Centre públic Dep. i CEB,Escola La Pau,Barcelona,CEB,CEB,1,9,0,0,0,10,0,3,2,15,9,0,0,0,9,9,0,2,2,0,0,1,1,0
"08002587",ESC,Centre públic Dep. i CEB,Escola Concepción Arenal,Barcelona,CEB,CEB,1,9,1,0,1,0,9,0,0,9,0,8,0,0,8,9,0,8,8,1,1,1,1,0
"08002599",ESC,Centre públic Dep. i CEB,Escola Eduard Marquina,Barcelona,CEB,CEB,1,9,1,0,1,0,0,0,9,9,0,0,0,8,8,9,0,8,8,1,1,1,1,0
"08002617",ESC,Centre públic Dep. i CEB,Escola Rambleta del Clot,Barcelona,CEB,CEB,1,18,2,3,5,10,0,0,4,14,10,0,0,4,14,16,5,4,9,4,4,1,1,0
"08002629",ESC,Centre públic Dep. i CEB,Escola Les Acàcies,Barcelona,CEB,CEB,1,19,0,2,2,18,1,0,0,19,18,1,0,0,19,19,18,1,19,0,0,1,1,0
"08002630",ESC,Centre públic Dep. i CEB,Escola Els Porxos,Barcelona,CEB,CEB,1,9,1,0,1,7,0,0,2,9,7,0,0,1,8,9,3,2,5,1,1,1,1,0
"08002642",ESC,Centre públic Dep. i CEB,Escola Poblenou,Barcelona,CEB,CEB,1,15,1,4,5,14,0,0,0,14,14,0,0,0,14,15,10,0,10,1,1,1,1,0
"08002654",ESC,Centre públic Dep. i CEB,Escola Prim,Barcelona,CEB,CEB,1,10,2,3,5,0,0,0,10,10,0,0,0,8,8,10,0,8,8,2,2,1,1,0
"08002666",EE,Centre públic Dep. i CEB,CEE Concha Espina,Barcelona,CEB,CEB,1,6,6,3,9,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,2,1,1,0
"08002681",ESC,Centre públic Dep. i CEB,Escola Duran i Bas,Barcelona,CEB,CEB,1,18,0,0,0,17,1,0,0,18,17,1,0,0,18,18,6,1,7,0,0,1,1,0
"08002721",ESC,Centre públic Dep. i CEB,Escola Font d'en Fargas,Barcelona,CEB,CEB,1,19,4,2,6,19,0,0,0,19,15,0,0,0,15,19,15,0,15,4,4,1,1,0
"08002733",ESC,Centre públic Dep. i CEB,Escola Miralletes,Barcelona,CEB,CEB,1,9,1,0,1,6,0,0,3,9,6,0,0,2,8,9,6,2,8,1,1,1,1,0
"08002745",ESC,Centre públic Dep. i CEB,Escola El Carmel,Barcelona,CEB,CEB,1,18,19,0,19,0,0,7,0,7,0,0,0,0,0,19,0,0,0,18,5,1,1,0
"08002770",ESC,Centre públic Dep. i CEB,Escola Àgora,Barcelona,CEB,CEB,1,9,0,2,2,5,2,2,0,9,5,2,2,0,9,9,2,2,4,0,0,1,1,0
"08002800",ESC,Centre públic Dep. i CEB,Escola Mas Casanovas,Barcelona,CEB,CEB,1,18,0,1,1,8,1,0,0,9,8,1,0,0,9,9,8,1,9,1,1,1,1,0
"08002873",ESC,Centre públic Dep. i CEB,Escola Bac de Roda,Barcelona,CEB,CEB,1,18,0,20,20,18,0,0,0,18,18,0,0,0,18,18,0,0,0,0,0,1,1,0
"08002897",ESC,Centre públic Dep. i CEB,Escola Mestre Morera,Barcelona,CEB,CEB,1,9,3,0,3,5,1,1,0,7,5,1,0,0,6,9,3,0,3,3,3,1,1,0
"08002903",EE,Centre públic Dep. i CEB,CEE Sant Joan de la Creu,Barcelona,CEB,CEB,0,8,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,4
"08002915",ESC,Centre públic Dep. i CEB,Escola Brasil,Barcelona,CEB,CEB,1,12,0,0,0,9,0,0,4,13,9,0,0,3,12,12,5,4,9,0,0,1,1,0
"08002927",ESC,Centre públic Dep. i CEB,Escola Joaquim Ruyra,Barcelona,CEB,CEB,1,20,0,0,0,18,0,0,0,18,18,0,0,0,18,18,6,0,6,0,0,1,1,0
"08002952",ESC,Centre públic Dep. i CEB,Escola Enric Granados,Barcelona,CEB,CEB,1,9,1,0,1,9,0,0,0,9,8,0,0,0,8,9,4,0,4,1,1,1,1,0
"08002976",ESC,Centre públic Dep. i CEB,Escola Ramon Casas,Barcelona,CEB,CEB,1,18,2,2,4,11,0,4,0,15,11,0,4,0,15,17,15,0,15,3,3,1,1,0
"08002988",ESC,Centre públic Dep. i CEB,Escola Pare Poveda,Barcelona,CEB,CEB,1,14,0,0,0,10,0,4,1,15,10,0,4,0,14,14,14,0,14,0,0,1,1,0
"08002991",ESC,Centre públic Dep. i CEB,Escola Cascavell,Sant Adrià de Besòs,BCO,BCO,1,9,1,0,1,0,1,0,0,1,0,1,0,0,1,2,0,0,0,1,1,1,1,0
"08003041",ESC,Concertada 30% NESE,Sagrada Família,Barcelona,CEB,CEB,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,1,0
"08003361",IE,Concertada 30% NESE,Maristes Anna Ravell,Barcelona,CEB,CEB,0,24,0,0,0,0,0,0,0,0,24,0,0,0,24,24,0,0,0,0,0,0,1,0
"08003491",ESC,Centre públic Dep. i CEB,Escola De Bosc de Montjuïc,Barcelona,CEB,CEB,1,10,1,0,1,0,9,0,0,9,0,9,0,0,9,10,0,0,0,1,1,1,1,0
"08003671",ESC,Concertada 30% NESE,JesuÏtes Poble Sec - Sant Pere Claver,Barcelona,CEB,CEB,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,1,0
"08003695",ESC,Centre públic Dep. i CEB,Escola Bàrkeno,Barcelona,CEB,CEB,1,9,0,11,11,9,0,0,0,9,9,0,0,0,9,9,9,0,9,0,0,1,1,0
"08003774",EE,EE Privats,Lexia,Barcelona,CEB,CEB,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,1,0
"08004389",ESC,Centre públic Dep. i CEB,Escola Reina Violant,Barcelona,CEB,CEB,1,10,0,0,0,13,0,0,0,13,10,0,0,0,10,10,10,0,10,0,0,1,1,0
"08004523",EE,EE Privats,Paideia,Barcelona,CEB,CEB,0,1,0,0,0,0,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,1,0
"08005102",IE,Concertada 30% NESE,La Salle Comtal,Barcelona,CEB,CEB,0,25,0,0,0,0,0,0,0,0,25,0,0,0,25,25,0,0,0,0,0,0,1,0
"08005114",IE,Concertada 30% NESE,Mare del Diví Pastor,Barcelona,CEB,CEB,0,12,0,0,0,0,0,0,0,0,12,0,0,0,12,12,0,0,0,0,0,0,1,0
"08005151",IE,Concertada 30% NESE,Sant Francesc Xavier,Barcelona,CEB,CEB,0,6,0,0,0,0,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,1,0
"08005618",IE,Concertada 30% NESE,Vedruna Àngels Barcelona,Barcelona,CEB,CEB,0,13,0,0,0,0,0,0,0,0,13,0,0,0,13,13,0,0,0,0,0,0,1,0
"08005746",IE,Concertada 30% NESE,Escola Pia Sant Antoni,Barcelona,CEB,CEB,0,47,0,0,0,0,0,0,0,0,47,0,0,0,47,47,0,0,0,0,0,0,1,0
"08005965",ESC,Concertada 30% NESE,Sant Francesc d'Assís,Barcelona,CEB,CEB,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,1,0
"08006477",ESC,Concertada 30% NESE,Lloret,Barcelona,CEB,CEB,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,1,0
"08006945",IE,Concertada 30% NESE,Acis-Artur Martorell,Barcelona,CEB,CEB,0,13,0,0,0,0,0,0,0,0,13,0,0,0,13,13,0,0,0,0,0,0,1,0
"08006970",IE,Concertada 30% NESE,Sant Josep,Barcelona,CEB,CEB,0,17,0,0,0,0,0,0,0,0,17,0,0,0,17,17,0,0,0,0,0,0,1,0
"08007202",ESC,Centre públic Dep. i CEB,Escola Patronat Domènech,Barcelona,CEB,CEB,1,9,0,0,0,9,0,0,0,9,9,0,0,0,9,9,3,0,3,0,0,1,1,0
"08007445",IE,Concertada 30% NESE,Escola Pia Luz Casanova,Barcelona,CEB,CEB,0,13,0,0,0,0,0,0,0,0,13,0,0,0,13,13,0,0,0,0,0,0,1,0
"08007524",ESC,Concertada 30% NESE,Prínceps 23 d'Abril,Barcelona,CEB,CEB,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,1,0
"08008191",IE,Concertada 30% NESE,Santa Maria dels Apòstols,Barcelona,CEB,CEB,0,18,0,0,0,0,0,0,0,0,18,0,0,0,18,18,0,0,0,0,0,0,1,0
"08008267",IE,Concertada 30% NESE,FEP L'Esperança,Barcelona,CEB,CEB,0,12,0,0,0,0,0,0,0,0,12,0,0,0,12,12,0,0,0,0,0,0,1,0
"08008309",IE,Concertada 30% NESE,FEP Mare Alfonsa Cavín,Barcelona,CEB,CEB,0,13,0,0,0,0,0,0,0,0,13,0,0,0,13,13,0,0,0,0,0,0,1,0
"08008361",IE,Concertada 30% NESE,Cor de Maria-Sabastida,Barcelona,CEB,CEB,0,26,0,0,0,0,0,0,0,0,26,0,0,0,26,26,0,0,0,0,0,0,1,0
"08008401",IE,Concertada 30% NESE,FEP Bon Pastor,Barcelona,CEB,CEB,0,24,0,0,0,0,0,0,0,0,24,0,0,0,24,24,0,0,0,0,0,0,1,0
"08008449",ESC,Centre públic Dep. i CEB,Escola Turó Blau,Barcelona,CEB,CEB,1,9,0,0,0,9,0,0,0,9,9,0,0,0,9,9,5,0,5,0,0,1,1,0
"08008531",IE,Concertada 30% NESE,Amor de Dios,Barcelona,CEB,CEB,0,28,0,0,0,0,0,0,0,0,28,0,0,0,28,28,0,0,0,0,0,0,1,0
"08008826",ESC,Concertada 30% NESE,Miró,Barcelona,CEB,CEB,0,9,0,0,0,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,1,0
"08008981",IE,Concertada 30% NESE,Sagrat Cor Besòs,Barcelona,CEB,CEB,0,26,0,0,0,0,0,0,0,0,26,0,0,0,26,26,0,0,0,0,0,0,1,0
"08009171",ESC,Centre públic Dep. i CEB,Escola Casas,Barcelona,CEB,CEB,1,9,0,0,0,13,3,2,0,18,9,0,0,0,9,9,6,3,9,0,0,1,1,0
"08009235",IE,Concertada 30% NESE,FEP Santíssima Trinitat,Barcelona,CEB,CEB,0,13,0,0,0,0,0,0,0,0,13,0,0,0,13,13,0,0,0,0,0,0,1,0
"08009776",ESC,Centre públic Dep. i CEB,Escola Arc Iris,Barcelona,CEB,CEB,1,9,1,0,1,0,0,6,3,9,0,0,6,2,8,9,6,2,8,1,1,1,1,0
"08010146",ESC,Centre públic Dep. i CEB,Escola del Mar,Barcelona,CEB,CEB,1,9,0,0,0,0,0,0,9,9,0,0,0,9,9,9,0,9,9,0,0,1,1,0
"08010201",ESC,Centre públic Dep. i CEB,Escola Parc del Guinardó,Barcelona,CEB,CEB,1,9,0,0,0,9,0,3,0,12,9,0,0,0,9,9,3,0,3,0,0,1,1,0
"08010304",IE,Concertada 30% NESE,Santa Teresa de Jesús,Barcelona,CEB,CEB,0,13,0,0,0,0,0,0,0,0,13,0,0,0,13,13,0,0,0,0,0,0,1,0
"08010882",INS,Concertada 30% NESE,Molina,Barcelona,CEB,CEB,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,1,0
"08010912",ESC,Centre públic Dep. i CEB,Escola Ignasi Iglésias,Barcelona,CEB,CEB,1,16,8,0,8,7,1,0,0,8,7,1,0,0,8,16,0,0,0,8,5,1,1,0
"08011096",IE,Concertada 30% NESE,Piaget,Barcelona,CEB,CEB,0,13,0,0,0,0,0,0,0,0,13,0,0,0,13,13,0,0,0,0,0,0,1,0
"08011266",EE,EE Privats,Aspace,Barcelona,CEB,CEB,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,1,0
"08011281",EE,EE Privats,Inst. Pedagogia Terapèut. Jeroni de Moragas,Barcelona,CEB,CEB,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0
"08011291",EE,EE Privats,Pedralbes,Barcelona,CEB,CEB,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0
"08011424",EE,EE Privats,Sants Innocents,Barcelona,CEB,CEB,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,1,0
"08011451",EE,EE Privats,Aspasim,Barcelona,CEB,CEB,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
"08011643",EE,EE Privats,FEP Aprenents EE,Barcelona,CEB,CEB,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,1,0
"08012714",INS,Centre públic Dep. i CEB,Institut Anna Gironella de Mundet,Barcelona,CEB,CEB,1,28,0,0,0,28,0,0,0,28,28,0,0,0,28,28,28,0,28,0,0,1,1,0
"08013071",EE,EE Privats,FEP Nostra Senyora de Montserrat EE,Barcelona,CEB,CEB,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,1,0
"08013093",INS,Centre públic Dep. i CEB,Institut Montjuïc,Barcelona,CEB,CEB,1,14,1,0,1,10,0,0,0,10,10,0,0,0,10,11,0,0,0,1,1,1,1,0
"08013101",INS,Centre públic Dep. i CEB,Institut Joan d'Àustria,Barcelona,CEB,CEB,1,26,15,24,39,18,1,5,0,24,11,0,0,0,11,26,0,0,0,15,7,1,1,0
"08013111",INS,Centre públic Dep. i CEB,Institut Jaume Balmes,Barcelona,CEB,CEB,1,26,0,0,0,30,2,0,0,32,26,0,0,0,26,26,26,0,26,0,0,1,1,0
"08013135",INS,Centre públic Dep. i CEB,Institut Moisès Broggi,Barcelona,CEB,CEB,1,27,0,0,0,20,5,0,0,25,20,5,0,0,25,25,20,5,25,0,0,1,1,0
"08013147",INS,Centre públic Dep. i CEB,Institut Sants,Barcelona,CEB,CEB,1,29,1,0,1,0,38,0,0,38,0,28,0,0,28,29,0,20,20,1,1,1,1,0
"08013159",INS,Centre públic Dep. i CEB,Institut Infanta Isabel d'Aragó,Barcelona,CEB,CEB,1,32,0,0,0,25,0,0,0,25,25,0,0,0,25,25,0,0,0,0,0,1,1,0
"08013160",INS,Centre públic Dep. i CEB,Institut Poeta Maragall,Barcelona,CEB,CEB,1,27,0,0,0,16,0,1,3,20,16,0,1,3,20,20,0,0,0,0,0,1,1,0
