id,nom,municipi,sstt,ssttNou,idResposta,dataResposta,pDepartament,pAltres,pTotal,e75paret,e75rodes,e65paret,e65rodes,eTotal,srFixes,srRodes,srTotal,retirada,armaris
"08035325",Institut Torrent de les Bruixes,Santa Coloma de Gramenet,BCO,BCO,4216429,24/03/2022,1,2,3,0,0,16,0,16,16,0,16,16,0
"08035349",Institut La Romànica,Barberà del Vallès,VOC,VOC,4229818,31/03/2022,2,0,2,0,0,37,0,37,0,0,0,0,0
"08035350",Escola Sant Josep,Sant Vicenç dels Horts,BLL,BLL,4218015,25/03/2022,0,0,0,16,0,0,0,16,16,0,16,16,4
"08035362",Institut Alt Penedès,Vilafranca del Penedès,BCO,PEN,4231008,01/04/2022,0,0,0,20,5,0,4,29,20,9,29,8,6
"08035398",Escola Miguel Hernández,Badalona,BCO,BCO,4227862,30/03/2022,1,0,1,0,3,0,1,4,0,0,0,0,4
"08035404",Escola Joan Miró,Badalona,BCO,BCO,4213911,23/03/2022,1,1,2,9,0,0,0,9,0,0,0,9,2
"08035416",Escola Josep Boada,Badalona,BCO,BCO,4225387,29/03/2022,1,0,1,0,12,0,6,18,0,18,18,16,2
"08035428",Escola La Farigola del Clot,Barcelona,CEB,CEB,4231423,01/04/2022,1,0,1,16,2,0,0,18,16,2,18,16,5
"08035431",Escola Bogatell,Barcelona,CEB,CEB,4229690,31/03/2022,0,0,0,14,4,0,0,18,14,4,18,13,4
"08035441",Escola Catalònia,Barcelona,CEB,CEB,4225781,29/03/2022,0,0,0,18,0,0,0,18,12,0,12,18,4
"08035453",Escola Tomàs Moro,Barcelona,CEB,CEB,4235026,04/04/2022,2,0,2,0,0,2,0,2,2,0,2,0,2
"08035465",Escola Mare Nostrum,Barcelona,CEB,CEB,4229348,31/03/2022,1,0,1,0,0,17,0,17,0,0,0,5,4
"08035477",Escola Santiago Rusiñol,Barcelona,CEB,CEB,4211857,22/03/2022,0,0,0,0,18,0,0,18,0,18,18,8,3
"08035519",Escola Antoni Gaudí,Santa Coloma de Gramenet,BCO,BCO,4222971,28/03/2022,1,0,1,5,12,0,0,17,5,12,17,5,4
"08035544",CEE Josep Pla,Barcelona,CEB,CEB,4229318,31/03/2022,5,0,5,9,0,0,0,9,0,0,0,10,3
